the_geom,the_geom_webmercator,facname,addressnum,streetname,address,city,zipcode,boro,borocode,bin,bbl,cd,nta,council,schooldist,policeprct,censtract,factype,facsubgrp,facgroup,facdomain,servarea,opname,opabbrev,optype,overagency,overabbrev,overlevel,capacity,captype,latitude,longitude,xcoord,ycoord,datasource,uid
0101000020E6100000E7398FD8E27A52C05C18602FE45D4440,0101000020110F000067C889D9E2635FC1D45799FB8EF85241,PARK,,,,WOODSIDE,11377,QUEENS,4,4473578,4023080025,402,QN31,30,24,108,020500,STRIP,"STREETSCAPES, PLAZAS, AND MALLS",PARKS AND PLAZAS,"PARKS, GARDENS, AND HISTORICAL SITES",Local,NYC Department of Parks and Recreation,NYCDPR,Public,NYC Department of Parks and Recreation,NYCDPR,City,0,,40.7335344194,-73.9200969996,1006394.42258,206533.051852,dpr_parksproperties,2c6b488692f6ff93c41970d30c1955b5
0101000020E6100000E264E797C17A52C0E6749EF09E6C4440,0101000020110F00005CA2EF5DAA635FC1060759F614095341,UNIVERSITY MALLS,,,,BRONX,10453,BRONX,2,0,2028780320,205,BX36,14,09,46,021501,MALL,"STREETSCAPES, PLAZAS, AND MALLS",PARKS AND PLAZAS,"PARKS, GARDENS, AND HISTORICAL SITES",Local,NYC Department of Parks and Recreation,NYCDPR,Public,NYC Department of Parks and Recreation,NYCDPR,City,0,,40.8486087475,-73.918067431,1006917.68538,248459.102761,dpr_parksproperties,20a63bb1fd5d36022f8189c32ff75b01
0101000020E610000003512A9CE17552C0272B11F2936B4440,0101000020110F0000682AA88A625B5FC1F568E035E9075341,WESTCHESTER SQUARE PLAZA,,,,BRONX,10461,BRONX,2,0,0,210,BX59,13,11,45,009600,PEDESTRIAN PLAZA,"STREETSCAPES, PLAZAS, AND MALLS",PARKS AND PLAZAS,"PARKS, GARDENS, AND HISTORICAL SITES",Local,NYC Department of Transportation,NYCDOT,Public,NYC Department of Transportation,NYCDOT,City,0,,40.8404607278,-73.8418965464,1027996.6683,245519.350484,dot_pedplazas,3b52bd005897dd7630fcc518de1243a5
0101000020E6100000A372C9A7F17852C0C5FAC278E65C4440,0101000020110F0000EF81565296605FC179D93AA272F75241,PARK,,,,MASPETH,11378,QUEENS,4,0,0,405,QN30,30,24,104,049500,STRIP,"STREETSCAPES, PLAZAS, AND MALLS",PARKS AND PLAZAS,"PARKS, GARDENS, AND HISTORICAL SITES",Local,NYC Department of Parks and Recreation,NYCDPR,Public,NYC Department of Parks and Recreation,NYCDPR,City,0,,40.7257917017,-73.8897508883,1014808.13028,203721.268843,dpr_parksproperties,8f005182835af1793da1d3b0ea70a17e
0101000020E610000073FAFD406E7A52C0A2803938486C4440,0101000020110F0000DB0671CE1C635FC104DE2799B3085341,TOWNSEND WALK,,,,BRONX,10453,BRONX,2,0,0,205,BX41,14,09,46,022701,STRIP,"STREETSCAPES, PLAZAS, AND MALLS",PARKS AND PLAZAS,"PARKS, GARDENS, AND HISTORICAL SITES",Local,NYC Department of Parks and Recreation,NYCDPR,Public,NYC Department of Parks and Recreation,NYCDPR,City,0,,40.8459622539,-73.9129807885,1008325.92701,247496.242648,dpr_parksproperties,a8c7a223cfcd7b7db9cbfaec043086e0
0101000020E6100000F23FD92F538052C0795AD94CFD5B4440,0101000020110F0000D2EF89E11F6D5FC1DEE803566DF65241,CHURCH & WHITE PLAZA,,,,NEW YORK,10013,MANHATTAN,1,0,0,101,MN24,1,02,1,003300,PEDESTRIAN PLAZA,"STREETSCAPES, PLAZAS, AND MALLS",PARKS AND PLAZAS,"PARKS, GARDENS, AND HISTORICAL SITES",Local,NYC Department of Transportation,NYCDOT,Public,NYC Department of Transportation,NYCDOT,City,0,,40.7186758659,-74.0050787741,982842.147801,201109.56139,dot_pedplazas,1878e5302bbdf6ced5488aa284aef650
0101000020E6100000EF81C732FF7752C0C0F336FB7C5D4440,0101000020110F000030F4E17BFA5E5FC1A4D231501BF85241,PARK,,,,MIDDLE VILLAGE,11379,QUEENS,4,0,4028850200,405,QN21,29,24,104,050500,STRIP,"STREETSCAPES, PLAZAS, AND MALLS",PARKS AND PLAZAS,"PARKS, GARDENS, AND HISTORICAL SITES",Local,NYC Department of Parks and Recreation,NYCDPR,Public,NYC Department of Parks and Recreation,NYCDPR,City,0,,40.7303848907,-73.8749524793,1018907.46535,205400.217592,dpr_parksproperties,00d4c56c95b7538d0007e34f7e4b8430
0101000020E6100000D20D4802767D52C04A924B9A9B504440,0101000020110F000029AD208142685FC1B74F0087AEE95241,FLATBUSH MALL,,,,BROOKLYN,11230,BROOKLYN,3,0,0,314,BK43,45,22,70,053200,MALL,"STREETSCAPES, PLAZAS, AND MALLS",PARKS AND PLAZAS,"PARKS, GARDENS, AND HISTORICAL SITES",Local,NYC Department of Parks and Recreation,NYCDPR,Public,NYC Department of Parks and Recreation,NYCDPR,City,0,,40.6297568594,-73.9603291212,995261.563592,168716.276226,dpr_parksproperties,1fda899b99f0180c38247cceb4fd7448
0101000020E6100000F00907B32F7752C04BE6378FF55F4440,0101000020110F00004C87A3069A5D5FC1C137AE62E0FA5241,CORONA PLAZA,,,,CORONA,11368,QUEENS,4,0,0,404,QN26,21,24,110,040500,PEDESTRIAN PLAZA,"STREETSCAPES, PLAZAS, AND MALLS",PARKS AND PLAZAS,"PARKS, GARDENS, AND HISTORICAL SITES",Local,NYC Department of Transportation,NYCDOT,Public,NYC Department of Transportation,NYCDOT,City,0,,40.7496896483,-73.86228774,1022406.49313,212438.808591,dot_pedplazas,3c57c3f0a8162de4db6478c4671f160f
0101000020E610000004CDC44D787952C00D12BFA4F55E4440,0101000020110F0000E31C12097B615FC1FE3D927FC1F95241,LATHAM PARK,,,,WOODSIDE,11377,QUEENS,4,0,4013430119,402,QN63,26,24,108,024700,TRIANGLE/PLAZA,"STREETSCAPES, PLAZAS, AND MALLS",PARKS AND PLAZAS,"PARKS, GARDENS, AND HISTORICAL SITES",Local,NYC Department of Parks and Recreation,NYCDPR,Public,NYC Department of Parks and Recreation,NYCDPR,City,0,,40.7418797113,-73.8979691763,1012523.4127,209579.871624,dpr_parksproperties,62b6463b81813e198c1450122f79ec2f
0101000020E6100000F7E6E3F5CB7A52C09D65E90075594440,0101000020110F000084BCFFF9BB635FC137CC57FC96F35241,KNICKERBOCKER PLAZA,,,,BROOKLYN,11237,BROOKLYN,3,0,0,304,BK77,37,32,83,043100,PEDESTRIAN PLAZA,"STREETSCAPES, PLAZAS, AND MALLS",PARKS AND PLAZAS,"PARKS, GARDENS, AND HISTORICAL SITES",Local,NYC Department of Transportation,NYCDOT,Public,NYC Department of Transportation,NYCDOT,City,0,,40.6988914221,-73.9187001813,1006793.25265,193911.912366,dot_pedplazas,0042c2137204721192def8199f825b67
0101000020E6100000C9563501BC7C52C058F39F7FD95B4440,0101000020110F000000C2BC8E06675FC119DFDF3745F65241,FROST STREET PLAZA,,,,BROOKLYN,11211,BROOKLYN,3,0,0,301,BK73,34,14,94,051500,PEDESTRIAN PLAZA,"STREETSCAPES, PLAZAS, AND MALLS",PARKS AND PLAZAS,"PARKS, GARDENS, AND HISTORICAL SITES",Local,NYC Department of Transportation,NYCDOT,Public,NYC Department of Transportation,NYCDOT,City,0,,40.7175832876,-73.9489763282,998394.153707,200715.580213,dot_pedplazas,5c724c95e4079ce1655676dc80eb9a72
0101000020E61000007F8549CA1C7D52C008AAD6926B5B4440,0101000020110F0000905919F5AA675FC18EB49E0BCAF55241,NORTH 5TH PLAZA,,,,BROOKLYN,11211,BROOKLYN,3,0,0,301,BK73,33,14,94,051900,PEDESTRIAN PLAZA,"STREETSCAPES, PLAZAS, AND MALLS",PARKS AND PLAZAS,"PARKS, GARDENS, AND HISTORICAL SITES",Local,NYC Department of Transportation,NYCDOT,Public,NYC Department of Transportation,NYCDOT,City,0,,40.7142286442,-73.9548836454,996757.229667,199492.482846,dot_pedplazas,200a54368b6fd295552f45c97938bee7
0101000020E61000005CF997EDCF7B52C02319996724594440,0101000020110F00000FA3C38E75655FC132C2ADB23CF35241,BEATTIE SQUARE,,,,BROOKLYN,11221,BROOKLYN,3,0,3015870001,303,BK35,36,16,81,028700,TRIANGLE/PLAZA,"STREETSCAPES, PLAZAS, AND MALLS",PARKS AND PLAZAS,"PARKS, GARDENS, AND HISTORICAL SITES",Local,NYC Department of Parks and Recreation,NYCDPR,Public,NYC Department of Parks and Recreation,NYCDPR,City,0,,40.6964317382,-73.9345673484,1002394.1892,193012.091928,dpr_parksproperties,341d75b7462727d27147099a8adc4f6d
0101000020E6100000F644D0EEE27A52C0281183E0176C4440,0101000020110F0000B2C856FFE2635FC16B92EC527D085341,PARK,,,,BRONX,10452,BRONX,2,0,2028730126,204,BX26,16,09,44,021302,STRIP,"STREETSCAPES, PLAZAS, AND MALLS",PARKS AND PLAZAS,"PARKS, GARDENS, AND HISTORICAL SITES",Local,NYC Department of Parks and Recreation,NYCDPR,Public,NYC Department of Parks and Recreation,NYCDPR,City,0,,40.8444869534,-73.9201023127,1006356.07941,246956.858057,dpr_parksproperties,66a301fda0ecd77583b1cf0776398ad9
0101000020E610000003B131FDA57F52C012741462F4514440,0101000020110F0000AA53DFAFF96B5FC142573B6430EB5241,PARK,,,,BROOKLYN,11219,BROOKLYN,3,0,0,312,BK88,39,15,66,022200,TRIANGLE/PLAZA,"STREETSCAPES, PLAZAS, AND MALLS",PARKS AND PLAZAS,"PARKS, GARDENS, AND HISTORICAL SITES",Local,NYC Department of Parks and Recreation,NYCDPR,Public,NYC Department of Parks and Recreation,NYCDPR,City,0,,40.6402787233,-73.9945076067,985774.299607,172547.228992,dpr_parksproperties,75f5f35d2308073e889e7cecc1f7b339
0101000020E610000015C3101E247F52C0D4A2F9777B594440,0101000020110F00002E5E47161D6B5FC1956F663A9EF35241,BROOKLYN PLAZA,,,,BROOKLYN,11201,BROOKLYN,3,0,3000880001,302,BK38,33,13,84,002300,PEDESTRIAN PLAZA,"STREETSCAPES, PLAZAS, AND MALLS",PARKS AND PLAZAS,"PARKS, GARDENS, AND HISTORICAL SITES",Local,NYC Department of Transportation,NYCDOT,Public,NYC Department of Transportation,NYCDOT,City,0,,40.6990887188,-73.9865808754,987970.916818,193973.61712,dot_pedplazas,ff6bcef048d89cffc26d480fad56c7d1
0101000020E610000065FBDD9A987E52C0B806E0EF3B604440,0101000020110F0000399F6B1C306A5FC147033F492FFB5241,PERSHING SQUARE PLAZA,,,,NEW YORK,10017,MANHATTAN,1,0,0,105,MN20,4,02,14,008200,PEDESTRIAN PLAZA,"STREETSCAPES, PLAZAS, AND MALLS",PARKS AND PLAZAS,"PARKS, GARDENS, AND HISTORICAL SITES",Local,NYC Department of Transportation,NYCDOT,Public,NYC Department of Transportation,NYCDOT,City,0,,40.7518373973,-73.9780657086,990327.229375,213192.07061,dot_pedplazas,788ddd32bb6f70ebf15ca580a9c45395
0101000020E6100000DF290163FD7752C0846F2BF21E614440,0101000020110F0000B34F1D68F75E5FC126ACECCD2DFC5241,VETERANS PLAZA,,,,EAST ELMHURST,11369,QUEENS,4,0,4014050030,403,QN27,21,30,115,035300,TRIANGLE/PLAZA,"STREETSCAPES, PLAZAS, AND MALLS",PARKS AND PLAZAS,"PARKS, GARDENS, AND HISTORICAL SITES",Local,NYC Department of Parks and Recreation,NYCDPR,Public,NYC Department of Parks and Recreation,NYCDPR,City,0,,40.7587651665,-73.8748419075,1018923.33733,215740.091645,dpr_parksproperties,94533cbe4a8e667c1079bf3f9f70ffd7
